Sampling	Condition	SampleID	Taunc	Tacorr	analyte_mass g	file name	CRM type	CRM TA umol_kg-1	Titrant nominal concentration M	Titrant stardized conc M	Titration_batch	Salinity	DIC	analyte_mass	CRM2
6h	2	2.6.2	2.995	2.995	49.82	T40356_20221206_1502_004_Tdata1	SS20221120_3	2342	0.1	0.1017	4	33.54	2029.92	0.04982	2214.54
6h	2	2.6.2	2.985	2.985	53.16	T40356_20221206_1502_004_Tdata3	SS20221120_3	2342	0.1	0.1017	4	33.54	2029.92	0.05316	2214.54
6h	2	2.6.3	2.684	2.684	44.85	T40356_20221206_1511_005_Tdata1	SS20221120_3	2342	0.1	0.1017	4	32.84	2029.92	0.04485	2214.54
6h	2	2.6.3	2.688	2.688	46.27	T40356_20221206_1511_005_Tdata2	SS20221120_3	2342	0.1	0.1017	4	32.84	2029.92	0.04627	2214.54
6h	3	3.6.1	2.669	2.669	44.96	T40356_20221206_1530_006_Tdata1	SS20221120_3	2342	0.1	0.1017	4	33.55	2029.92	0.04496	2214.54
6h	3	3.6.1	2.676	2.676	47.03	T40356_20221206_1530_006_Tdata3	SS20221120_3	2342	0.1	0.1017	4	33.55	2029.92	0.04703	2214.54
6h	3	3.6.2	2.651	2.651	49.26	T40356_20221206_1546_007_Tdata2	SS20221120_3	2342	0.1	0.1017	4	33.15	2029.92	0.04926	2214.54
6h	3	3.6.2	2.644	2.644	48.86	T40356_20221206_1546_007_Tdata3	SS20221120_3	2342	0.1	0.1017	4	33.15	2029.92	0.04886	2214.54
6h	3	3.6.3	2.585	2.585	52.29	T40356_20221206_1602_008_Tdata2	SS20221120_3	2342	0.1	0.1017	4	32.52	2029.92	0.05229	2214.54
6h	3	3.6.3	2.589	2.589	45.44	T40356_20221206_1602_008_Tdata3	SS20221120_3	2342	0.1	0.1017	4	32.52	2029.92	0.04544	2214.54
6h	4	4.6.1	2.363	2.363	52.3	T40356_20221206_1619_009_Tdata1	SS20221120_3	2342	0.1	0.1017	4	32.46	2029.92	0.0523	2214.54
6h	4	4.6.1	2.359	2.359	46.86	T40356_20221206_1619_009_Tdata3	SS20221120_3	2342	0.1	0.1017	4	32.46	2029.92	0.04686	2214.54
6h	4	4.6.2	2.353	2.353	50.99	T40356_20221206_1633_010_Tdata1	SS20221120_3	2342	0.1	0.1017	4	33.69	2029.92	0.05099	2214.54
6h	4	4.6.2	2.339	2.339	47.62	T40356_20221206_1633_010_Tdata3	SS20221120_3	2342	0.1	0.1017	4	33.69	2029.92	0.04762	2214.54
6h	4	4.6.3	2.346	2.346	47.21	T40356_20221206_1821_011_Tdata1	SS20221120_3	2342	0.1	0.1017	4	33.81	2029.92	0.04721	2214.54
6h	4	4.6.3	2.35	2.35	47.44	T40356_20221206_1821_011_Tdata3	SS20221120_3	2342	0.1	0.1017	4	33.81	2029.92	0.04744	2214.54
12h	1	1.12.1	2.532	2.532	54.53	T40356_20221202_1501_084_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.53	2029.92	0.05453	2214.54
12h	1	1.12.1	2.535	2.535	47.16	T40356_20221202_1501_084_Tdata3	SS20221120_2	2342	0.1	0.1015	3	33.53	2029.92	0.04716	2214.54
12h	1	1.12.2	2.508	2.508	44.09	T40356_20221202_1516_085_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.50	2029.92	0.04409	2214.54
12h	1	1.12.2	2.51	2.51	46.97	T40356_20221202_1516_085_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.50	2029.92	0.04697	2214.54
12h	1	1.12.3	2.549	2.549	45.65	T40356_20221202_1527_086_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.54	2029.92	0.04565	2214.54
12h	1	1.12.3	2.554	2.554	49.23	T40356_20221202_1527_086_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.54	2029.92	0.04923	2214.54
12h	2	2.12.1	2.492	2.492	43.04	T40356_20221202_1542_087_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.82	2029.92	0.04304	2214.54
12h	2	2.12.1	2.513	2.513	50.51	T40356_20221202_1542_087_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.82	2029.92	0.05051	2214.54
12h	2	2.12.2	2.525	2.525	43.18	T40356_20221202_1552_088_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.23	2029.92	0.04318	2214.54
12h	2	2.12.2	2.531	2.531	41.54	T40356_20221202_1552_088_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.23	2029.92	0.04154	2214.54
12h	2	2.12.3	2.446	2.446	40.21	T40356_20221202_1600_089_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.84	2029.92	0.04021	2214.54
12h	2	2.12.3	2.446	2.446	40.93	T40356_20221202_1600_089_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.84	2029.92	0.04093	2214.54
12h	3	3.12.1	2.423	2.423	43.03	T40356_20221202_1618_090_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.42	2029.92	0.04303	2214.54
12h	3	3.12.1	2.421	2.421	45.69	T40356_20221202_1618_090_Tdata3	SS20221120_2	2342	0.1	0.1015	3	33.42	2029.92	0.04569	2214.54
12h	3	3.12.2	2.49	2.49	43.06	T40356_20221202_1623_091_Tdata1	SS20221120_2	2342	0.1	0.1015	3	34.00	2029.92	0.04306	2214.54
12h	3	3.12.2	2.5	2.5	42.94	T40356_20221202_1628_092_Tdata1	SS20221120_2	2342	0.1	0.1015	3	34.00	2029.92	0.04294	2214.54
12h	3	3.12.3	2.509	2.509	50.1	T40356_20221202_1649_093_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.78	2029.92	0.0501	2214.54
12h	3	3.12.3	2.487	2.487	50.58	T40356_20221202_1649_093_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.78	2029.92	0.05058	2214.54
12h	4	4.12.1	2.339	2.339	44.96	T40356_20221202_1659_094_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.79	2029.92	0.04496	2214.54
12h	4	4.12.1	2.338	2.338	45.41	T40356_20221202_1659_094_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.79	2029.92	0.04541	2214.54
12h	4	4.12.2	2.365	2.365	45	T40356_20221202_1708_095_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.90	2029.92	0.045	2214.54
12h	4	4.12.2	2.361	2.361	46.22	T40356_20221202_1708_095_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.90	2029.92	0.04622	2214.54
12h	4	4.12.3	2.338	2.338	49.48	T40356_20221202_1719_096_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.57	2029.92	0.04948	2214.54
12h	4	4.12.3	2.345	2.345	51.18	T40356_20221202_1719_096_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.57	2029.92	0.05118	2214.54
12h	1	1.18.1	2.425	2.425	51.48	T40356_20221202_1151_072_Tdata2	SS20221120_2	2342	0.1	0.1015	3	32.26	2029.92	0.05148	2214.54
12h	1	1.18.1	2.432	2.432	51.22	T40356_20221202_1151_072_Tdata3	SS20221120_2	2342	0.1	0.1015	3	32.26	2029.92	0.05122	2214.54
12h	1	1.18.2	2.47	2.47	49.96	T40356_20221202_1202_073_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.75	2029.92	0.04996	2214.54
12h	1	1.18.2	2.457	2.457	50.18	T40356_20221202_1202_073_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.75	2029.92	0.05018	2214.54
12h	1	1.18.3	2.43	2.43	50.03	T40356_20221202_1220_074_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.75	2029.92	0.05003	2214.54
12h	1	1.18.3	2.451	2.451	50.09	T40356_20221202_1220_074_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.75	2029.92	0.05009	2214.54
12h	2	2.18.1	2.466	2.466	52.8	T40356_20221202_1237_075_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.47	2029.92	0.0528	2214.54
12h	2	2.18.1	2.46	2.46	50.11	T40356_20221202_1237_075_Tdata3	SS20221120_2	2342	0.1	0.1015	3	33.47	2029.92	0.05011	2214.54
12h	2	2.18.2	2.491	2.491	50	T40356_20221202_1248_076_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.18	2029.92	0.05	2214.54
12h	2	2.18.2	2.484	2.484	48.5	T40356_20221202_1248_076_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.18	2029.92	0.0485	2214.54
12h	2	2.18.3	2.404	2.404	52.31	T40356_20221202_1305_077_Tdata2	SS20221120_2	2342	0.1	0.1015	3	32.20	2029.92	0.05231	2214.54
12h	2	2.18.3	2.408	2.408	49.07	T40356_20221202_1305_077_Tdata3	SS20221120_2	2342	0.1	0.1015	3	32.20	2029.92	0.04907	2214.54
12h	3	3.18.1	2.415	2.415	50.33	T40356_20221202_1325_078_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.95	2029.92	0.05033	2214.54
12h	3	3.18.1	2.392	2.392	52.3	T40356_20221202_1325_078_Tdata3	SS20221120_2	2342	0.1	0.1015	3	33.95	2029.92	0.0523	2214.54
12h	3	3.18.2	2.433	2.433	52.57	T40356_20221202_1336_079_Tdata1	SS20221120_2	2342	0.1	0.1015	3	33.85	2029.92	0.05257	2214.54
12h	3	3.18.2	2.442	2.442	52.64	T40356_20221202_1336_079_Tdata2	SS20221120_2	2342	0.1	0.1015	3	33.85	2029.92	0.05264	2214.54
